Base_Height,H_Feb04,H_Feb14,H_Feb21,H_Feb28,Growth_Feb04,Growth_Feb14,Growth_Feb21,Growth_Feb28,Rate_Feb04_Feb14,Rate_Feb14_Feb21,Rate_Feb21_Feb28,Total_Growth,Growth_Acceleration,Survival_Score,Treatment_Encoded,Alive_Feb14,Alive_Feb21,Alive_Feb28,Target_Accession
12,26,38.2,45.3,55.5,14,26.2,33.3,43.5,1.22,1.014285714,1.457142857,43.5,0.237142857,1,0,1,1,1,0
17.2,32,48.3,52,53.8,14.8,31.1,34.8,36.6,1.63,0.528571429,0.257142857,36.6,-1.372857143,1,0,1,1,1,0
14.7,29,45.2,48,49.5,14.3,30.5,33.3,34.8,1.62,0.4,0.214285714,34.8,-1.405714286,1,0,1,1,1,0
18.5,32,49.7,56,63,13.5,31.2,37.5,44.5,1.77,0.9,1,44.5,-0.77,1,0,1,1,1,0
7.5,19.5,30.3,37,39.5,12,22.8,29.5,32,1.08,0.957142857,0.357142857,32,-0.722857143,1,0,1,1,1,0
18.5,26.5,44,52,53.5,8,25.5,33.5,35,1.75,1.142857143,0.214285714,35,-1.535714286,1,0,1,1,1,0
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,0
19.5,27.5,37.5,38.5,49.5,8,18,19,30,1,0.142857143,1.571428571,30,0.571428571,1,0,1,1,1,0
19,31,35.8,45,46,12,16.8,26,27,0.48,1.314285714,0.142857143,27,-0.337142857,1,0,1,1,1,0
15,26.5,38.5,42,54,11.5,23.5,27,39,1.2,0.5,1.714285714,39,0.514285714,1,0,1,1,1,0
20.5,30,37,55.3,60.4,9.5,16.5,34.8,39.9,0.7,2.614285714,0.728571429,39.9,0.028571429,1,0,1,1,1,9
22.5,29,42,51,57.6,6.5,19.5,28.5,35.1,1.3,1.285714286,0.942857143,35.1,-0.357142857,1,0,1,1,1,9
11.2,19.5,30.8,35,38.5,8.3,19.6,23.8,27.3,1.13,0.6,0.5,27.3,-0.63,1,0,1,1,1,9
15.5,24.6,40,47.2,47.6,9.1,24.5,31.7,32.1,1.54,1.028571429,0.057142857,32.1,-1.482857143,1,0,1,1,1,9
15.7,26,41,42.4,45.6,10.3,25.3,26.7,29.9,1.5,0.2,0.457142857,29.9,-1.042857143,1,0,1,1,1,9
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,9
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,9
5.75,10.775,15.4375,0,0,0,0,0,0,0.46625,-2.205357143,0,-5.75,-0.46625,1,0,1,1,1,9
